ccode,year,attacksum,deathsum
235,2000,0,0
235,2001,0,0
235,2002,0,0
235,2003,0,0
235,2004,0,0
235,2005,0,0
235,2006,0,0
235,2007,0,0
235,2008,0,0
235,2009,0,0
235,2010,0,0
260,1981,0,0
260,1982,0,0
260,1983,0,0
260,1984,1,0
260,1985,0,0
260,1986,0,0
260,1987,0,0
260,1988,0,0
260,1989,0,0
260,1990,1,0
260,1991,65,10
260,1992,156,17
260,1993,0,0
260,1994,79,2
260,1995,147,10
260,1996,50,1
260,1997,12,0
260,1998,5,0
260,1999,12,3
260,2000,7,0
260,2001,4,0
260,2002,2,0
260,2003,2,0
260,2004,1,0
260,2005,1,0
260,2006,2,0
260,2007,2,0
260,2008,3,0
260,2009,4,0
260,2010,1,0
290,1981,1,0
290,1982,0,0
290,1983,0,0
290,1984,0,0
290,1985,0,0
290,1986,0,0
290,1987,0,0
290,1988,0,0
290,1989,0,0
290,1990,7,1
290,1991,0,0
290,1992,5,4
290,1993,0,0
290,1994,4,0
290,1995,4,0
290,1996,6,0
290,1997,3,2
290,1998,2,0
290,1999,0,0
290,2000,0,0
290,2001,1,0
290,2002,0,0
290,2003,0,0
290,2004,0,0
290,2005,0,0
290,2006,0,0
290,2007,0,0
290,2008,0,0
290,2009,0,0
290,2010,0,0
305,1981,3,3
305,1982,11,0
305,1983,0,0
305,1984,4,2
305,1985,4,4
305,1986,4,0
305,1987,4,0
305,1988,1,0
305,1989,2,3
305,1990,1,0
305,1991,3,0
305,1992,8,0
305,1993,0,0
305,1994,5,0
305,1995,12,6
305,1996,4,0
305,1997,1,0
305,1998,1,0
305,1999,0,0
305,2000,0,0
305,2001,0,0
305,2002,0,0
305,2003,0,0
305,2004,0,0
305,2005,0,0
305,2006,1,0
305,2007,1,0
305,2008,7,0
305,2009,3,1
305,2010,0,0
325,1981,69,24
325,1982,23,12
325,1983,7,2
325,1984,14,23
325,1985,11,19
325,1986,7,1
325,1987,14,3
325,1988,29,6
325,1989,15,0
325,1990,6,0
325,1991,30,0
325,1992,37,17
325,1993,0,0
325,1994,18,2
325,1995,1,0
325,1996,8,0
325,1997,8,0
325,1998,6,0
325,1999,7,1
325,2000,8,0
325,2001,11,0
325,2002,7,1
325,2003,15,0
325,2004,3,1
325,2005,6,1
325,2006,4,0
325,2007,0,0
325,2008,2,0
325,2009,4,0
325,2010,10,0
338,1981,0,0
338,1982,0,0
338,1983,0,0
338,1984,7,0
338,1985,1,0
338,1986,1,1
338,1987,4,0
338,1988,0,0
338,1989,0,0
338,1990,0,0
338,1991,0,0
338,1992,2,3
338,1993,0,0
338,1994,0,0
338,1995,2,1
338,1996,0,0
338,1997,1,0
338,1998,0,0
338,1999,0,0
338,2000,0,0
338,2001,0,0
338,2002,0,0
338,2003,0,0
338,2004,0,0
338,2005,0,0
338,2006,0,0
338,2007,0,0
338,2008,0,0
338,2009,0,0
338,2010,0,0
339,1981,1,0
339,1982,0,0
339,1983,0,0
339,1984,0,0
339,1985,0,0
339,1986,0,0
339,1987,0,0
339,1988,0,0
339,1989,0,0
339,1990,1,0
339,1991,1,0
339,1992,3,1
339,1993,0,0
339,1994,2,1
339,1995,0,0
339,1996,6,7
339,1997,41,26
339,1998,7,0
339,1999,3,6
339,2000,2,0
339,2001,1,0
339,2002,0,0
339,2003,1,0
339,2004,0,0
339,2005,0,0
339,2006,0,0
339,2007,0,0
339,2008,0,0
339,2009,1,0
339,2010,0,0
345,1981,2,0
345,1982,0,0
345,1983,1,2
345,1984,1,2
345,1985,0,0
345,1986,0,0
345,1987,0,0
345,1988,0,0
345,1989,3,0
345,1990,5,0
345,1991,13,7
345,1992,12,3
345,1993,0,0
345,1994,1,0
345,1995,3,2
345,1996,16,9
345,1997,38,9
345,1998,46,57
345,1999,23,14
345,2000,14,5
345,2001,20,8
345,2002,3,0
345,2003,0,0
345,2004,0,0
345,2005,0,0
345,2006,0,0
345,2007,0,0
345,2008,2,0
345,2009,3,0
345,2010,1,0
350,1981,20,3
350,1982,19,2
350,1983,11,4
350,1984,28,5
350,1985,35,64
350,1986,41,6
350,1987,26,2
350,1988,38,14
350,1989,50,4
350,1990,55,2
350,1991,57,15
350,1992,35,2
350,1993,0,0
350,1994,42,3
350,1995,8,0
350,1996,20,0
350,1997,21,1
350,1998,28,0
350,1999,35,1
350,2000,28,1
350,2001,14,0
350,2002,11,0
350,2003,12,0
350,2004,4,0
350,2005,6,0
350,2006,23,0
350,2007,16,63
350,2008,53,0
350,2009,115,1
350,2010,51,4
352,1981,3,0
352,1982,1,0
352,1983,2,0
352,1984,7,6
352,1985,7,3
352,1986,3,1
352,1987,10,1
352,1988,5,6
352,1989,6,1
352,1990,11,0
352,1991,11,0
352,1992,6,0
352,1993,0,0
352,1994,6,2
352,1995,3,0
352,1996,10,3
352,1997,0,0
352,1998,1,0
352,1999,1,0
352,2000,2,0
352,2001,1,0
352,2002,0,0
352,2003,0,0
352,2004,1,0
352,2005,0,0
352,2006,0,0
352,2007,1,0
352,2008,0,0
352,2009,0,0
352,2010,0,0
355,1981,0,0
355,1982,2,2
355,1983,0,0
355,1984,1,0
355,1985,0,0
355,1986,0,0
355,1987,0,0
355,1988,0,0
355,1989,0,0
355,1990,5,0
355,1991,3,0
355,1992,2,0
355,1993,0,0
355,1994,2,1
355,1995,2,3
355,1996,12,9
355,1997,3,0
355,1998,2,0
355,1999,1,0
355,2000,2,4
355,2001,1,0
355,2002,1,1
355,2003,0,0
355,2004,0,0
355,2005,0,0
355,2006,0,0
355,2007,0,0
355,2008,2,0
355,2009,0,0
355,2010,0,0
360,1981,0,0
360,1982,0,0
360,1983,0,0
360,1984,1,1
360,1985,1,2
360,1986,0,0
360,1987,0,0
360,1988,0,0
360,1989,0,0
360,1990,0,0
360,1991,1,1
360,1992,1,0
360,1993,0,0
