year,ccode,uds
1996,90,0.21973281
1997,90,0.276265841
1998,90,0.274355912
1999,90,0.233122946
2000,90,0.455278
2001,90,0.553293462
2002,90,0.309520417
2003,90,0.309519783
2004,90,0.252910752
2005,90,0.252771574
2006,90,0.273894297
2007,90,0.303952492
2008,90,0.444772527
1946,91,-0.537604412
1947,91,-0.531059963
1948,91,-0.558211343
1949,91,-0.306160688
1950,91,-0.256445404
1951,91,-0.304472992
1952,91,-0.298462051
1953,91,-0.306710638
1954,91,-0.360078849
1955,91,-0.845020248
1956,91,-0.691826445
1957,91,-0.085122531
1958,91,0.13295939
1959,91,0.13058108
1960,91,0.180030234
1961,91,0.132555912
1962,91,0.132336834
1963,91,-0.165618645
1964,91,-0.696956774
1965,91,-0.360346177
1966,91,-0.393142027
1967,91,-0.391488123
1968,91,-0.390764847
1969,91,-0.395084806
1970,91,-0.391860315
1971,91,-0.011826658
1972,91,-0.55323433
1973,91,-0.504368807
1974,91,-0.499106455
1975,91,-0.500493619
1976,91,-0.505851972
1977,91,-0.549191882
1978,91,-0.563089507
1979,91,-0.561747678
1980,91,-0.606720728
1981,91,-0.268256663
1982,91,0.281549373
1983,91,0.256489125
1984,91,0.271804478
1985,91,0.343402428
1986,91,0.277384555
1987,91,0.27760381
1988,91,0.301011301
1989,91,0.293073806
1990,91,0.327986134
1991,91,0.327876956
1992,91,0.327786437
1993,91,0.294675955
1994,91,0.293213648
1995,91,0.294653543
1996,91,0.294996031
1997,91,0.488323486
1998,91,0.487151987
1999,91,0.675766301
2000,91,0.653564502
2001,91,0.613899126
2002,91,0.615944489
2003,91,0.614926792
2004,91,0.615847338
2005,91,0.577968155
2006,91,0.541472622
2007,91,0.546280014
2008,91,0.423058469
1946,92,-1.078354416
1947,92,-1.074467486
1948,92,-1.092814254
1949,92,-1.10239282
1950,92,-0.354447829
1951,92,-0.434218766
1952,92,-0.670221598
1953,92,-0.669955286
1954,92,-0.674107086
1955,92,-0.552160993
1956,92,-0.620081306
1957,92,-0.62035662
1958,92,-0.623435667
1959,92,-0.619751247
1960,92,-0.645696918
1961,92,-0.651834078
1962,92,-0.472074019
1963,92,-0.472548535
1964,92,-0.338156618
1965,92,-0.233013007
1966,92,-0.341624512
1967,92,-0.108549514
1968,92,-0.106614239
1969,92,-0.106673336
1970,92,-0.111617935
1971,92,-0.110724647
1972,92,-0.177022815
1973,92,-0.177954077
1974,92,-0.177812845
1975,92,-0.17877953
1976,92,-0.19630224
1977,92,-0.300626616
1978,92,-0.392480049
1979,92,-0.560638931
1980,92,-0.83399247
1981,92,-0.539804975
1982,92,-0.311799234
1983,92,-0.343230456
1984,92,0.04006922
1985,92,0.030023925
1986,92,0.054620062
1987,92,0.055801457
1988,92,0.038355197
1989,92,0.039440392
1990,92,0.023137259
1991,92,0.067515016
1992,92,0.250547631
1993,92,0.247995594
1994,92,0.631794309
1995,92,0.630819108
1996,92,0.627971947
1997,92,0.720075789
1998,92,0.719787821
1999,92,0.710398788
2000,92,0.728736166
2001,92,0.608895131
2002,92,0.614991579
2003,92,0.606464853
2004,92,0.652276079
2005,92,0.647298163
2006,92,0.620575285
2007,92,0.618254452
2008,92,0.537357353
1946,93,-1.07576521
1947,93,-1.068915668
1948,93,-0.975282661
1949,93,-0.987036014
1950,93,-0.736441521
1951,93,-0.856140426
1952,93,-0.861527211
1953,93,-0.86104933
1954,93,-0.864825367
1955,93,-0.672159499
1956,93,-0.854235448
1957,93,-0.861206862
1958,93,-0.860170441
1959,93,-0.859642794
1960,93,-0.760094813
1961,93,-0.864558568
1962,93,-0.863427448
1963,93,-0.763067807
1964,93,-0.758268332
1965,93,-0.610255195
1966,93,-0.76584697
1967,93,-0.5624329
1968,93,-0.561980368
1969,93,-0.560621627
1970,93,-0.561978097
1971,93,-0.630199085
1972,93,-0.574050586
1973,93,-0.668267263
1974,93,-0.604863199
1975,93,-0.668910123
1976,93,-0.658227764
1977,93,-0.758067083
1978,93,-0.728494497
1979,93,-0.587776943
1980,93,-0.686493038
1981,93,-0.702184774
1982,93,-0.700457586
1983,93,-0.612726094
1984,93,-0.037979214
1985,93,0.058312138
1986,93,0.05117402
1987,93,0.070364235
1988,93,0.048499217
1989,93,0.10019664
1990,93,0.470428034
1991,93,0.472331049
1992,93,0.459471802
1993,93,0.433004717
1994,93,0.434774885
1995,93,0.474642303
1996,93,0.724638629
1997,93,0.727791748
1998,93,0.756010284
1999,93,0.710719787
2000,93,0.772292076
2001,93,0.554130497
2002,93,0.55686408
2003,93,0.555170568
2004,93,0.556368693
