year,ccode,terror_killed,terror_events
1992,310,0,1
1994,310,0,2
1996,310,0,13
1997,310,3,17
1998,310,0,2
2001,310,1,1
2008,310,0,2
1972,315,26,1
1989,315,0,4
1990,315,0,1
1991,315,1,1
1992,315,0,3
1994,316,0,1
1995,316,1,3
1996,316,2,3
1997,316,1,4
2001,316,0,1
2003,316,0,1
2008,316,0,2
1994,317,0,1
1995,317,3,3
1996,317,1,5
1997,317,2,4
1998,317,1,2
1999,317,0,1
2000,317,0,1
1970,325,0,3
1971,325,0,3
1972,325,1,4
1973,325,62,15
1974,325,26,22
1975,325,0,7
1976,325,10,174
1977,325,25,308
1978,325,26,277
1979,325,24,209
1980,325,125,110
1981,325,24,69
1982,325,12,23
1983,325,2,7
1984,325,23,14
1985,325,19,11
1986,325,1,7
1987,325,3,14
1988,325,6,29
1989,325,0,15
1990,325,0,6
1991,325,0,31
1992,325,17,37
1994,325,2,18
1995,325,0,1
1996,325,0,8
1997,325,0,8
1998,325,0,6
1999,325,1,7
2000,325,0,8
2001,325,0,11
2002,325,1,7
2003,325,0,15
2004,325,1,3
2005,325,1,6
2006,325,0,4
2008,325,0,2
1977,338,1,1
1984,338,0,7
1985,338,0,1
1986,338,1,1
1987,338,0,4
1992,338,1,1
1995,338,1,2
1997,338,0,1
1981,339,0,1
1990,339,0,1
1991,339,0,1
1992,339,1,3
1994,339,1,2
1996,339,7,6
1997,339,26,41
1998,339,0,7
1999,339,6,3
2000,339,0,2
2001,339,0,1
2003,339,0,1
2001,341,1,1
2007,341,0,1
1994,343,0,1
1995,343,1,1
1997,343,0,2
1998,343,0,5
1999,343,0,3
2000,343,3,3
2001,343,35,67
2002,343,3,8
2003,343,0,5
2006,343,0,3
2007,343,0,1
2008,343,2,9
1991,344,237,26
1992,344,2,4
1994,344,3,4
1995,344,1,1
1996,344,0,3
1997,344,2,8
2000,344,3,2
2001,344,0,3
2005,344,0,1
2008,344,0,2
1973,345,1,1
1974,345,0,1
1977,345,1,1
1980,345,0,1
1981,345,0,2
1983,345,2,1
1984,345,2,1
1989,345,0,3
1990,345,0,5
1991,345,6,11
1992,345,3,12
1994,345,0,1
1995,345,2,3
1996,345,9,16
1997,345,9,38
1998,345,57,46
1999,345,14,23
2000,345,5,14
2001,345,8,20
2002,345,0,3
2003,345,2,6
2004,345,1,1
2005,345,0,2
2006,345,0,2
2008,345,2,4
1992,346,55,22
1994,346,3,9
1995,346,2,6
1996,346,2,33
1997,346,5,42
1998,346,2,9
1999,346,1,5
2000,346,1,6
2001,346,0,2
2002,346,0,3
2003,346,0,1
2005,346,0,1
2006,346,0,1
2007,346,1,2
2008,346,2,4
1999,347,23,39
2000,347,23,60
2001,347,20,17
2002,347,1,5
2003,347,7,9
2004,347,0,1
2005,347,1,8
2006,347,0,6
2007,347,1,5
2008,347,0,11
1994,349,1,1
1996,349,0,3
1997,349,0,1
2000,349,0,1
1970,350,2,3
1971,350,0,1
1972,350,0,2
1973,350,5,11
1974,350,92,6
1975,350,1,4
1976,350,14,21
1977,350,1,47
1978,350,0,39
1979,350,1,9
1980,350,5,15
1981,350,3,20
1982,350,2,19
1983,350,4,11
1984,350,5,28
1985,350,64,35
1986,350,6,41
1987,350,2,26
1988,350,14,38
1989,350,4,50
1990,350,2,55
1991,350,15,57
1992,350,2,35
1994,350,3,42
1995,350,0,8
1996,350,0,20
1997,350,1,21
1998,350,0,28
1999,350,1,35
2000,350,1,28
2001,350,0,14
2002,350,0,11
2003,350,0,12
2004,350,0,4
2005,350,0,6
2006,350,0,23
2007,350,0,15
2008,350,0,53
1973,352,1,3
1975,352,0,2
1977,352,0,1
1978,352,16,2
1979,352,2,5
1980,352,3,1
1981,352,0,3
1982,352,0,1
1983,352,0,2
1984,352,6,7
1985,352,3,7
1986,352,1,3
1987,352,1,10
1988,352,6,5
1989,352,1,6
1990,352,0,11
1991,352,0,11
1992,352,0,6
1994,352,2,6
1995,352,0,3
1996,352,3,10
1998,352,0,1
1999,352,0,1
2000,352,0,2
2001,352,0,1
2004,352,0,1
2007,352,0,1
1982,355,2,2
1984,355,0,1
1990,355,0,5
1991,355,0,3
1992,355,0,2
1994,355,1,2
1995,355,3,2
1996,355,9,12
1997,355,0,3
1998,355,0,2
1999,355,0,1
2000,355,4,2
2001,355,0,1
2002,355,1,1
2008,355,0,2
1991,359,0,1
1992,359,10,11
1994,359,1,1
1996,359,0,2
1997,359,0,1
2000,359,0,1
2006,359,2,1
1984,360,1,1
1985,360,2,1
1991,360,1,1
1992,360,0,1
1995,360,0,1
2008,360,0,1
1978,365,4,1
1989,365,6,7
1990,365,58,36
1991,365,28,34
